year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status
2001-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,289,0,Final
2001-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,303,0,Final
2001-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,423,0,Final
2001-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,426,0,Final
2001-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,547,0,Final
2001-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,412,0,Final
2001-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,499,0,Final
2001-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,545,0,Final
2001-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,537,0,Final
2001-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,406,0,Final
2002-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,575,0,Final
2002-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,949,0,Final
2002-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,734,0,Final
2002-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,610,0,Final
2002-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,732,0,Final
2002-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,827,0,Final
2002-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,882,0,Final
2002-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,607,0,Final
2002-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,706,0,Final
2002-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,636,0,Final
2002-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,603,0,Final
2002-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,386,0,Final
2003-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,508,0,Final
2003-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,771,0,Final
2003-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,578,0,Final
2003-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,475,0,Final
2003-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,541,0,Final
2003-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,548,0,Final
2003-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2003-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2003-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2003-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2003-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2004-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2004-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2004-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2004-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2004-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2004-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2004-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2004-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2004-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2005-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2005-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2005-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2005-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2005-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2005-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,8,0,Final
2005-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2006-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2006-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2006-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2006-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2006-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,10,0,Final
2006-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,11,0,Final
2006-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2006-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2006-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2006-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2007-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2007-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2007-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2007-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2007-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2007-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,15,0,Final
2007-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2007-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2007-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2007-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2007-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2008-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2008-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2008-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2008-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2008-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,16,0,Final
2008-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2008-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,19,0,Final
2008-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,13,0,Final
2008-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2008-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2008-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,8,0,Final
2008-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2009-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2009-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,12,0,Final
2009-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,13,0,Final
2009-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,11,0,Final
2009-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2009-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,25,0,Final
2009-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2009-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,12,0,Final
2009-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2009-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2009-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2009-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,10,0,Final
2010-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,11,0,Final
2010-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,22,0,Final
2010-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2010-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,14,0,Final
2010-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2010-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,14,0,Final
2010-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,28,0,Final
2010-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,14,0,Final
2010-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2010-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,17,0,Final
2010-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2010-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2011-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,8,0,Final
2011-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2011-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,12,0,Final
2011-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2011-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2011-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2011-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,17,0,Final
2011-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2011-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,11,0,Final
2011-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2011-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2011-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2012-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2012-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,21,0,Final
2012-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2012-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,9,0,Final
2012-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,15,0,Final
2012-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,14,0,Final
2012-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,14,0,Final
2012-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2012-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,10,0,Final
2012-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,8,0,Final
2012-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,14,0,Final
2012-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2013-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2013-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,12,0,Final
2013-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2013-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,10,0,Final
2013-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,11,0,Final
2013-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,10,0,Final
2013-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,10,0,Final
2013-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2013-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2013-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,14,0,Final
2013-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2013-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2014-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2014-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,12,0,Final
2014-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,13,0,Final
2014-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2014-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,8,0,Final
2014-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2014-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2014-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2014-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2014-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2014-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2014-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,8,0,Final
2015-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,10,0,Final
2015-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,16,0,Final
2015-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,8,0,Final
2015-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2015-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,7,0,Final
2015-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2015-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2015-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2015-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2015-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2015-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,14,0,Final
2015-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2016-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2016-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2016-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,6,0,Final
2016-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2016-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2016-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2016-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2016-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2016-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2016-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2016-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2017-01,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2017-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2017-04,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2017-05,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2017-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2017-08,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2017-09,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2017-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2017-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2017-12,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2018-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2018-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2018-06,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2018-07,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2018-10,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2018-11,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2019-02,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2019-03,2020-09,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2019-06,2020-10,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2019-07,2020-11,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2019-09,2021-01,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Final
2019-10,2021-02,Long-term migrant,Arrivals,TOTAL,Other,India,20,0,Final
2019-11,2021-03,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2020-01,2021-05,Long-term migrant,Arrivals,TOTAL,Other,India,12,0,Final
2020-02,2021-06,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2020-03,2021-07,Long-term migrant,Arrivals,TOTAL,Other,India,4,0,Final
2020-04,2021-08,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2020-08,2021-12,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2020-10,2022-02,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2020-12,2022-04,Long-term migrant,Arrivals,TOTAL,Other,India,2,0,Final
2021-04,2022-08,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2021-07,2022-11,Long-term migrant,Arrivals,TOTAL,Other,India,5,0,Final
2021-11,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Final
2022-03,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Provisional
2022-05,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Provisional
2022-06,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,3,0,Provisional
2022-08,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,0,0,Provisional
2022-09,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,1,0,Provisional
2022-10,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,3,1,Provisional
2022-11,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,5,1,Provisional
2022-12,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,4,1,Provisional
2023-01,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,1,1,Provisional
2023-02,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,4,1,Provisional
2023-03,2023-03,Long-term migrant,Arrivals,TOTAL,Other,India,10,3,Provisional
2003-07,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,284,0,Final
2003-08,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,303,0,Final
2003-09,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,223,0,Final
2003-10,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,210,0,Final
2003-11,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,215,0,Final
2003-12,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,121,0,Final
2004-01,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,125,0,Final
2004-02,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,185,0,Final
2004-03,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,91,0,Final
2004-04,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,140,0,Final
2004-05,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,138,0,Final
2004-06,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,142,0,Final
2004-07,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,129,0,Final
2004-08,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,99,0,Final
2004-09,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,111,0,Final
2004-10,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,67,0,Final
2004-11,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,82,0,Final
2004-12,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,93,0,Final
2005-01,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,61,0,Final
2005-02,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,75,0,Final
2005-03,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,69,0,Final
2005-04,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,105,0,Final
2005-05,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,106,0,Final
2005-06,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,81,0,Final
2005-07,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,60,0,Final
2005-08,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,72,0,Final
2005-09,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,52,0,Final
2005-10,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,78,0,Final
2005-11,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,49,0,Final
2005-12,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,67,0,Final
2006-01,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,30,0,Final
2006-02,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,46,0,Final
2006-03,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,73,0,Final
2006-04,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,82,0,Final
2006-05,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,62,0,Final
2006-06,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,63,0,Final
2006-07,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,83,0,Final
2006-08,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,46,0,Final
2006-09,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,41,0,Final
2006-10,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,60,0,Final
2006-11,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,64,0,Final
2006-12,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,30,0,Final
2007-01,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,100,0,Final
2007-02,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,66,0,Final
2007-03,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,166,0,Final
2007-04,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,73,0,Final
2007-05,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,137,0,Final
2007-06,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,107,0,Final
2007-07,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,65,0,Final
2007-08,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,99,0,Final
2007-09,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,97,0,Final
2007-10,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,75,0,Final
2007-11,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,77,0,Final
2007-12,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,72,0,Final
2008-01,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,62,0,Final
2008-02,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,61,0,Final
2008-03,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,59,0,Final
2008-04,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,80,0,Final
2008-05,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,62,0,Final
2008-06,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,99,0,Final
2008-07,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,46,0,Final
2008-08,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,64,0,Final
2008-09,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,36,0,Final
2008-10,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,39,0,Final
2008-11,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,70,0,Final
2008-12,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,44,0,Final
2009-01,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,58,0,Final
2009-02,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,44,0,Final
2009-03,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,75,0,Final
2009-04,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,68,0,Final
2009-05,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,74,0,Final
2009-06,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,88,0,Final
2009-07,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,74,0,Final
2009-08,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,71,0,Final
2009-09,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,76,0,Final
2009-10,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,59,0,Final
2009-11,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,83,0,Final
2009-12,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,63,0,Final
2010-01,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,52,0,Final
2010-02,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,41,0,Final
2010-03,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,64,0,Final
2010-04,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,65,0,Final
2010-05,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,48,0,Final
2010-06,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,47,0,Final
2010-07,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,48,0,Final
2010-08,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,45,0,Final
2010-09,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,41,0,Final
2010-10,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,25,0,Final
2010-11,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,36,0,Final
2010-12,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,42,0,Final
2011-01,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,37,0,Final
2011-02,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,45,0,Final
2011-03,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,68,0,Final
2011-04,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,36,0,Final
2011-05,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,53,0,Final
2011-06,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,48,0,Final
2011-07,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,34,0,Final
2011-08,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,42,0,Final
2011-09,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,39,0,Final
2011-10,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,33,0,Final
2011-11,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,55,0,Final
2011-12,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,32,0,Final
2012-01,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,56,0,Final
2012-02,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,54,0,Final
2012-03,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,66,0,Final
2012-04,2020-09,Long-term migrant,Arrivals,TOTAL,Resident,India,56,0,Final
